year,tree_cover_loss_ha,co2_excl_luc_Mt,co2_land_use_change_Mt
2001,39204,5.562,23.9
2002,28767,5.351,27.746
2003,25345,5.705,30.018
2004,23003,5.698,26.356
2005,25159,5.424,22.913
2006,35986,5.486,23.825
2007,45917,7.409,29.938
2008,35141,7.321,54.904
2009,36072,8.555,81.855
2010,57992,8.383,51.198
2011,27652,8.105,42.949
2012,51268,7.607,32.269
2013,84612,7.853,36.096
2014,181851,8.775,26.584
2015,78970,9.85,32.646
2016,116619,9.965,30.766
2017,187282,9.582,37.879
2018,120814,9.844,28.486
2019,121800,9.605,25.679
2020,202796,9.716,27.649
2021,168797,9.734,24.632
2022,147810,9.792,25.815
2023,204198,9.695,23.123
2024,179152,9.632,23.453
