year,oil_co2,gas_co2,cement_co2,flaring_co2,co2
2001,2.931,,0.395,2.237,5.562
2002,2.95,0.0,0.376,2.025,5.351
2003,3.32,0.0,0.379,2.006,5.705
2004,3.44,0.0,0.411,1.847,5.698
2005,3.195,0.0,0.396,1.833,5.424
2006,3.36,0.0,0.393,1.733,5.486
2007,4.573,0.685,0.445,1.706,7.409
2008,4.33,0.711,0.385,1.895,7.321
2009,5.581,0.59,0.424,1.961,8.555
2010,5.683,0.594,0.386,1.721,8.383
2011,5.658,0.425,0.438,1.584,8.105
2012,5.163,0.509,0.487,1.448,7.607
2013,5.159,0.586,0.545,1.563,7.853
2014,5.734,0.85,0.504,1.687,8.775
2015,6.213,0.942,0.659,2.036,9.85
2016,6.035,1.011,0.907,2.012,9.965
2017,5.507,1.121,0.992,1.962,9.582
2018,5.28,1.458,1.097,2.009,9.844
2019,5.238,1.327,1.077,1.963,9.605
2020,4.99,1.7,1.333,1.693,9.716
2021,5.137,1.385,1.744,1.468,9.734
2022,5.354,1.215,1.821,1.402,9.792
2023,5.522,1.098,1.821,1.253,9.695
2024,5.599,1.114,1.821,1.098,9.632
