year,Hard commodities,Logging,Other natural disturbances,Permanent agriculture,Settlements & Infrastructure,Shifting cultivation,Wildfire
2001,119,842,144,18459,877,17812,42
2002,189,965,120,14151,491,12245,24
2003,143,583,168,10639,1113,12267,18
2004,134,494,78,11812,654,9281,28
2005,147,879,91,11326,828,11363,18
2006,322,835,236,17557,1218,15178,29
2007,222,903,118,25881,752,17326,6
2008,155,1048,101,15562,1754,15981,11
2009,257,5198,150,14077,647,14346,14
2010,194,1539,302,36272,2635,15951,34
2011,173,653,75,14750,929,10637,6
2012,516,1202,157,25959,1690,20951,15
2013,669,4949,199,35290,2236,39740,24
2014,2030,9865,736,58795,4216,104003,17
2015,1476,3354,465,32595,1573,39160,12
2016,4351,5235,385,39856,1675,64094,450
2017,5704,7135,966,79198,3393,90184,70
2018,2087,5275,365,44868,2200,65661,41
2019,2400,5793,287,44528,1851,66583,44
2020,2684,10440,345,58071,2208,127790,884
2021,2950,7989,277,69078,1496,86472,118
2022,3381,8745,278,58864,1396,74731,51
2023,6602,9920,305,85201,1120,100480,353
2024,7590,12630,253,64453,1176,92209,604
