year,loss_ha,rank_loss,co2_Mt,rank_co2,d,d2
2001,39204,9,5.562,4,5,25
2002,28767,5,5.351,1,4,16
2003,25345,3,5.705,6,-3,9
2004,23003,1,5.698,5,-4,16
2005,25159,2,5.424,2,0,0
2006,35986,7,5.486,3,4,16
2007,45917,10,7.409,8,2,4
2008,35141,6,7.321,7,-1,1
2009,36072,8,8.555,13,-5,25
2010,57992,12,8.383,12,0,0
2011,27652,4,8.105,11,-7,49
2012,51268,11,7.607,9,2,4
2013,84612,14,7.853,10,4,16
2014,181851,21,8.775,14,7,49
2015,78970,13,9.85,23,-10,100
2016,116619,15,9.965,24,-9,81
2017,187282,22,9.582,15,7,49
2018,120814,16,9.844,22,-6,36
2019,121800,17,9.605,16,1,1
2020,202796,23,9.716,19,4,16
2021,168797,19,9.734,20,-1,1
2022,147810,18,9.792,21,-3,9
2023,204198,24,9.695,18,6,36
2024,179152,20,9.632,17,3,9
