country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Cameroon,1850,CMR,2753631.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.771,,,,,,,,,0.118,2.369,5.771,2.096,1.079,0.392,0.129,0.047,,,,,,,,,,,,,,,,0.213,,,,,0.213,,,,,,,,6.523,0.325,,
Cameroon,1851,CMR,2774499.0,,,,,,,,,,,,,,,,,,,,,,,,,,,13.096,,,,,,,,,0.117,2.822,7.325,2.64,1.08,0.389,0.132,0.047,,,,,,,,,,,,,,,,0.237,,,,,0.26,,,0.171,0.0,0.0,0.0,0.0,7.829,0.325,,
Cameroon,1852,CMR,2790807.0,,,,,,,,,,,,,,,,,,,,,,,,,,,20.301,,,,,,,,,0.117,2.773,7.205,2.582,1.081,0.387,0.134,0.048,,,,,,,,,,,,,,,,0.24,,,,,0.247,,,0.168,0.0,0.0,0.0,0.0,7.738,0.326,,
Cameroon,1853,CMR,2802478.0,,,,,,,,,,,,,,,,,,,,,,,,,,,27.532,,,,,,,,,0.117,2.787,7.231,2.58,1.082,0.386,0.136,0.049,,,,,,,,,,,,,,,,0.242,,,,,0.246,,,0.167,0.0,0.0,0.0,0.0,7.81,0.327,,
Cameroon,1854,CMR,2814197.0,,,,,,,,,,,,,,,,,,,,,,,,,,,34.535,,,,,,,,,0.116,2.67,7.002,2.488,1.083,0.385,0.138,0.049,,,,,,,,,,,,,,,,0.24,,,,,0.235,,,0.164,0.0,0.0,0.0,0.0,7.514,0.328,,
Cameroon,1855,CMR,2825965.0,,,,,,,,,,,,,,,,,,,,,,,,,,,41.242,,,,,,,,,0.116,2.614,6.707,2.373,1.084,0.383,0.14,0.05,,,,,,,,,,,,,,,,0.237,,,,,0.222,,,0.161,0.0,0.0,0.0,0.0,7.387,0.328,,
Cameroon,1856,CMR,2837780.0,,,,,,,,,,,,,,,,,,,,,,,,,,,47.511,,,,,,,,,0.116,2.467,6.269,2.209,1.084,0.382,0.142,0.05,,,,,,,,,,,,,,,,0.233,,,,,0.206,,,0.158,0.0,0.0,0.0,0.0,7.001,0.329,,
Cameroon,1857,CMR,2849645.0,,,,,,,,,,,,,,,,,,,,,,,,,,,55.88,,,,,,,,,0.116,3.141,8.369,2.937,1.085,0.381,0.144,0.05,,,,,,,,,,,,,,,,0.238,,,,,0.271,,,0.161,0.0,0.0,0.0,0.0,8.952,0.33,,
Cameroon,1858,CMR,2861558.0,,,,,,,,,,,,,,,,,,,,,,,,,,,64.798,,,,,,,,,0.115,3.143,8.918,3.116,1.086,0.38,0.145,0.051,,,,,,,,,,,,,,,,0.243,,,,,0.287,,,0.164,0.0,0.0,0.0,0.0,8.994,0.33,,
Cameroon,1859,CMR,2873719.0,,,,,,,,,,,,,,,,,,,,,,,,,,,73.296,,,,,,,,,0.115,3.03,8.498,2.957,1.087,0.378,0.146,0.051,,,,,,,,,,,,,,,,0.246,,,,,0.269,,,0.165,0.0,0.0,0.0,0.0,8.707,0.331,,
Cameroon,1860,CMR,2886130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,80.906,,,,,,,,,0.115,2.88,7.61,2.637,1.088,0.377,0.147,0.051,,,,,,,,,,,,,,,,0.247,,,,,0.263,,,0.166,0.0,0.0,0.0,0.0,8.313,0.331,,
Cameroon,1861,CMR,2898794.0,,,,,,,,,,,,,,,,,,,,,,,,,,,89.734,,,,,,,,,0.115,3.196,8.829,3.046,1.09,0.376,0.147,0.051,,,,,,,,,,,,,,,,0.253,,,,,0.319,,,0.169,0.0,0.0,0.0,0.0,9.265,0.332,,
Cameroon,1862,CMR,2911711.0,,,,,,,,,,,,,,,,,,,,,,,,,,,97.549,,,,,,,,,0.114,2.854,7.815,2.684,1.092,0.375,0.147,0.051,,,,,,,,,,,,,,,,0.256,,,,,0.29,,,0.17,0.0,0.0,0.0,0.0,8.309,0.333,,
Cameroon,1863,CMR,2924883.0,,,,,,,,,,,,,,,,,,,,,,,,,,,105.451,,,,,,,,,0.134,2.852,7.902,2.702,1.152,0.394,0.148,0.051,,,,,,,,,,,,,,,,0.258,,,,,0.297,,,0.171,0.0,0.0,0.0,0.0,8.341,0.391,,
