region_name,region_code,country_name,country_code,reporting_year,reporting_level,survey_acronym,survey_coverage,survey_year,welfare_type,survey_comparability,comparable_spell,poverty_line,headcount,poverty_gap,poverty_severity,watts,mean,median,mld,gini,polarization,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10,cpi,ppp,reporting_pop,reporting_gdp,reporting_pce,is_interpolated,distribution_type,estimation_type,spl,spr,pg,estimate_type
Europe & Central Asia,ECS,Norway,NOR,1979,national,IDS-LIS,national,1979,income,0,1979 - 2000,3,0.003,0.001926332881,0.001430397977,0.004001133824,33.505481064018,28.894565083472,0.126591661292,0.26894665959,0.226110873066,0.038476683432,0.056420908781,0.0657922812,0.074303446685,0.082013620679,0.091757850003,0.103636435326,0.120830750929,0.148022155729,0.218745867236,0.223027781285,10.036751747131,4072517,38585.9873650226,15241.7116471929,FALSE,micro,survey,15.747,0.074,1.203677928181,
Europe & Central Asia,ECS,Norway,NOR,1986,national,IDS-LIS,national,1986,income,0,1979 - 2000,3,0.002,9.1359818e-4,8.2209249e-4,0.002378533612,44.688245522376,40.025153061888,0.10522498735,0.24630331884,0.207087439201,0.042530686862,0.059114619108,0.067923466387,0.076036871767,0.085107779662,0.094508974194,0.106007957665,0.120965362593,0.142369625668,0.205434656096,0.408441599156,10.036751747131,4167354,48623.384680685,18619.3710410611,FALSE,micro,survey,21.313,0.057,0.873648689028,
Europe & Central Asia,ECS,Norway,NOR,1991,national,IDS-LIS,national,1991,income,0,1979 - 2000,3,0.004,0.002845487366,0.00228128695,0.006447355666,47.410123531274,42.271170551842,0.117329616002,0.252269466031,0.204321042932,0.041167675226,0.059174545743,0.067717783499,0.075918822756,0.084577914178,0.093861019651,0.10491781354,0.119430114194,0.141430192014,0.211804119199,0.533414682239,10.036751747131,4261732,51233.0361206278,18095.7389698741,FALSE,micro,survey,22.436,0.058,0.971304540085,
Europe & Central Asia,ECS,Norway,NOR,1995,national,IDS-LIS,national,1995,income,0,1979 - 2000,3,0.004,0.0026120695,0.002091104781,0.005958035937,48.106734812595,42.518036350523,0.127309456392,0.260208128659,0.205655498006,0.03902274684,0.058285632177,0.067426277638,0.075809751569,0.084145468576,0.093253666896,0.104132729624,0.119349449264,0.141543233923,0.217031043494,0.579929657123,10.036751747131,4359184,58380.568466801,19841.1317231783,FALSE,micro,survey,22.559,0.07,0.966297931138,
Europe & Central Asia,ECS,Norway,NOR,2000,national,IDS-LIS,national,2000,income,0,1979 - 2000,3,0.003,0.00189587685,0.001650902321,0.004829306059,58.622527598464,50.345154868404,0.139785958112,0.273601394991,0.211084041254,0.039707433862,0.057288435018,0.066034164013,0.073545230385,0.081527223494,0.090930883701,0.102596204804,0.117298128945,0.138511535471,0.232560760306,0.649917454787,10.036751747131,4490967,67846.5968643534,23463.2261036163,FALSE,micro,survey,26.473,0.058,0.815810727697,
Europe & Central Asia,ECS,Norway,NOR,2003,national,EU-SILC,national,2003,income,1,2003 - 2019,3,0.002188037356,0.001378436706,0.001040122454,0.002897439802,62.388366618855,53.804635895336,0.14064847047,0.276269016077,0.207751921829,0.038159971098,0.056533343481,0.066001832092,0.074222028925,0.082219000225,0.091057085326,0.102143822914,0.117444600273,0.138762350954,0.233455964713,0.694924961263,10.036751747131,4564855,69719.3122573679,25074.1940184147,FALSE,micro,survey,28.202,0.073498359402,0.681366753066,
Europe & Central Asia,ECS,Norway,NOR,2004,national,EU-SILC,national,2004,income,1,2003 - 2019,3,0.002948629478,0.002211254777,0.001901667645,0.005457728358,65.924196989808,53.799307045378,0.199038199924,0.31578070612,0.215601642846,0.034700860287,0.053540542275,0.062519575479,0.069908269999,0.077503582779,0.086702294267,0.09800686204,0.11220861361,0.133429105766,0.271480293499,0.69808339445,10.036751747131,4591910,72090.9862854901,26284.7935218539,FALSE,micro,survey,28.2,0.069849108333,0.80622225043,
Europe & Central Asia,ECS,Norway,NOR,2005,national,EU-SILC,national,2005,income,1,2003 - 2019,3,0.002120723383,0.001496475145,0.001226168295,0.003503481871,67.545127891376,55.899019849958,0.179767048837,0.305970270911,0.210201221057,0.035115234798,0.054476626162,0.063768483007,0.071171080497,0.079037330022,0.087313738384,0.09856839359,0.11316961212,0.134171962574,0.263207538847,0.708778988113,10.036751747131,4623291,73524.2549197612,27255.7813242489,FALSE,micro,survey,29.25,0.0717756819,0.703540746381,
Europe & Central Asia,ECS,Norway,NOR,2006,national,EU-SILC,national,2006,income,1,2003 - 2019,3,0.001645022341,9.51096538e-4,7.35299754e-4,0.002125952546,64.890815171072,58.269863356554,0.128859658266,0.263538398755,0.213914684863,0.034863270641,0.056738682841,0.067609292046,0.07606025209,0.085029769514,0.094679599401,0.106906442789,0.12272143974,0.143858206777,0.211533044162,0.725288938506,10.036751747131,4660677,74729.7365961068,28378.2856770262,FALSE,micro,survey,30.435,0.089487911123,0.652914638229,
Europe & Central Asia,ECS,Norway,NOR,2007,national,EU-SILC,national,2007,income,1,2003 - 2019,3,0.00154343336,8.80798608e-4,6.92995478e-4,0.002007368998,71.721274398233,62.59568131942,0.134720321231,0.270906487862,0.217786698143,0.036519303493,0.057295756317,0.066496100817,0.074203221227,0.082617517894,0.092478595204,0.104773316428,0.120962247774,0.142644383026,0.222009557819,0.730457228701,10.036751747131,4709153,76115.7066768285,29576.6774862299,FALSE,micro,survey,32.598,0.074923517823,0.594594812727,
Europe & Central Asia,ECS,Norway,NOR,2008,national,EU-SILC,national,2008,income,1,2003 - 2019,3,0.002401510183,0.001487954696,0.001132623052,0.003165793842,74.293749285309,65.477080507069,0.134181208268,0.269963451996,0.219143324661,0.035460425694,0.055934518453,0.066671301901,0.075171717912,0.083515182189,0.093369766191,0.105981748984,0.121706896118,0.144098591771,0.218089850786,0.757878108094,10.036751747131,4768212,75535.2118003041,29700.3591205773,FALSE,micro,survey,34.039,0.083470591058,0.606569440497,
Europe & Central Asia,ECS,Norway,NOR,2009,national,EU-SILC,national,2009,income,1,2003 - 2019,3,8.69477228e-4,4.09870658e-4,2.97045412e-4,9.12703927e-4,74.370805985018,66.377952925907,0.123068078568,0.261582276847,0.211852904127,0.036693753802,0.057159366446,0.067537752543,0.076048080971,0.084590248402,0.094391359045,0.106226051214,0.121414454747,0.143251291421,0.21268764141,0.774531615379,10.036751747131,4828726,73141.3073299889,29337.0372686916,FALSE,micro,survey,34.489,0.079008371698,0.526894571122,
Europe & Central Asia,ECS,Norway,NOR,2010,national,EU-SILC,national,2010,income,1,2003 - 2019,3,0.00150988138,0.001059562984,8.22937698e-4,0.002342884915,74.595800157321,67.054588897939,0.121060422541,0.257237077893,0.207978447856,0.03749841562,0.057236671456,0.067861911627,0.076854473629,0.085346934744,0.09485472562,0.106741252303,0.121164419544,0.14252124542,0.20991995003800001,0.79326681864,10.036751747131,4889252,72804.3956188398,30077.679057098,FALSE,micro,survey,34.827,0.076994353046,0.570195851129,
Europe & Central Asia,ECS,Norway,NOR,2011,national,EU-SILC,national,2011,income,1,2003 - 2019,3,0.001284999812,6.00343025e-4,4.35454456e-4,0.001325985731,78.268234808817,71.221725330037,0.113546985055,0.253001689046,0.211045705934,0.038469172538,0.056711805468,0.067638074583,0.076651466003,0.086093169857,0.096332385136,0.107933574216,0.122383799269,0.142903288193,0.204883264738,0.80345990266,10.036751747131,4953088,72660.6754124944,30392.093007598,FALSE,micro,survey,36.911,0.079615183629,0.508569397937,
Europe & Central Asia,ECS,Norway,NOR,2012,national,EU-SILC,national,2012,income,1,2003 - 2019,3,0.001271743145,9.59874007e-4,7.90753002e-4,0.002207233717,80.071887230477,72.448356024594,0.119713749748,0.257259974226,0.209856847595,0.037450564305,0.056701882002,0.067758893286,0.076425569619,0.085638718164,0.095328492953,0.107159893655,0.121675645044,0.143339563123,0.208520777849,0.809058924052,10.036751747131,5018573,73661.6785830334,31046.1845748234,FALSE,micro,survey,37.524,0.079573019261,0.533364329987,
Europe & Central Asia,ECS,Norway,NOR,2013,national,EU-SILC,national,2013,income,1,2003 - 2019,3,0.001649020846,8.56757518e-4,6.11760336e-4,0.001692559832,84.030286238661,75.041442892933,0.126357940021,0.263611110275,0.214922307131,0.036524445371,0.056550163787,0.066893877107,0.075590163224,0.084692882168,0.094199150489,0.106454071208,0.122130427659,0.143866811259,0.213098007727,0.82621494098,10.036751747131,5079623,73515.9144917472,31535.3445453196,FALSE,micro,survey,38.821,0.081440010211,0.494835287918,
Europe & Central Asia,ECS,Norway,NOR,2014,national,EU-SILC,national,2014,income,1,2003 - 2019,3,0.001129212288,8.14669071e-4,6.47966649e-4,0.0017571106480000001,85.366235100466,76.310513033454,0.131240185068,0.267525627449,0.216837482705,0.035299314273,0.055973610688,0.066786292724,0.075295511936,0.084463146365,0.095071782335,0.106593470841,0.121313107994,0.143132389852,0.216071372992,0.843083783603,10.036751747131,5137232,74180.3238731011,31827.5820998235,FALSE,micro,survey,39.455,0.084517354021,0.493632995301,
Europe & Central Asia,ECS,Norway,NOR,2015,national,EU-SILC,national,2015,income,1,2003 - 2019,3,0.001700492323,0.001024238628,7.18861497e-4,0.002015908687,86.390421451903,76.558718145694,0.13863424282,0.274967546363,0.217975929149,0.034578810772,0.055170334887,0.066097803169,0.074699570037,0.083746182164,0.093653490253,0.105569049654,0.120998778217,0.142999700748,0.222486280099,0.861388255666,10.036751747131,5188607,74809.9658049898,32366.3960767763,FALSE,micro,survey,39.579,0.090273676101,0.502270798185,
Europe & Central Asia,ECS,Norway,NOR,2016,national,EU-SILC,national,2016,income,1,2003 - 2019,3,0.002806733074,0.001916330175,0.001469674346,0.004126473925,85.95487125409,75.844685511986,0.15752622426,0.284933420252,0.217926081948,0.032025049031,0.053993967608,0.065279493804,0.07473891531,0.083458143331,0.093057832835,0.105071355311,0.120432246538,0.141368105903,0.230574890328,0.891967568247,10.036751747131,5234519,75017.4944769055,32442.9050686026,FALSE,micro,survey,39.222,0.096604595488,0.604777489882,
Europe & Central Asia,ECS,Norway,NOR,2017,national,EU-SILC,national,2017,income,1,2003 - 2019,3,0.002916524749,0.00189450919,0.001487069212,0.004351399617,84.282998696828,75.649492967492,0.138892353794,0.269867438315,0.215107738627,0.033478937290000003,0.055447690109,0.066899333957,0.076152698289,0.084924888128,0.094627924777,0.10648178057,0.121592714107,0.144173497365,0.216220535408,0.908692853978,10.036751747131,5276968,76247.4116445341,32902.3946601462,FALSE,micro,survey,39.125,0.090304653789,0.619995797084,
Europe & Central Asia,ECS,Norway,NOR,2018,national,EU-SILC,national,2018,income,1,2003 - 2019,3,0.002818009174,0.002045061456,0.001697005676,0.00487104988,84.945944788979,75.04799044844,0.142802069805,0.275602430689,0.220029423894,0.033717235868,0.055103915021,0.066018269225,0.0750578253,0.083760748155,0.09387769079,0.105462519936,0.121042502022,0.143970334962,0.221988958721,0.933816702058,10.036751747131,5311916,76373.6474606092,33154.4067303942,FALSE,micro,survey,38.824,0.090120170231,0.631104673401,
Europe & Central Asia,ECS,Norway,NOR,2019,national,EU-SILC,national,2019,income,1,2003 - 2019,3,0.001904272392,0.001340501294,0.001117144559,0.003185526595,87.23400771641,76.916503822963,0.143473286082,0.277418447202,0.220128912995,0.03364702427,0.054418875433,0.066353344081000007,0.074920073799,0.083602243669,0.093348053423,0.105455591061,0.120963749721,0.143740152536,0.223550892008,0.954059313205,10.036751747131,5347896,76712.2871160349,33268.0795618719,FALSE,micro,survey,39.758,0.09254882858,0.559801793169,
Europe & Central Asia,ECS,Norway,NOR,2020,national,EU-SILC,national,2020,income,2,2020 - 2021,3,0.002949580434,0.002321342238,0.001966095625,0.005533019041,84.392855825185,74.247431725089,0.154112882689,0.283928833444,0.219388194282,0.032575633333,0.053448142145,0.065380275087,0.074837931937,0.083658645939,0.093071490387,0.104546328815,0.120125253088,0.143457742844,0.228898556424,0.9663340932,10.036751747131,5379475,75287.2059527598,31015.3414607076,FALSE,micro,survey,38.424,0.095050934866,0.662858543811,
Europe & Central Asia,ECS,Norway,NOR,2021,national,EU-SILC,national,2021,income,2,2020 - 2021,3,0.001702402409,0.001271068487,0.001120399386,0.003259369826,87.084757177005,75.526714339317,0.157446380714,0.290891274502,0.213068136542,0.0342817007,0.053286343707,0.064888458705,0.073808241319,0.082165242962,0.091228369738,0.102436001782,0.116833018647,0.139245690077,0.241826932362,1,10.036751747131,5408320,77812.7115614383,32422.5057976878,FALSE,micro,survey,39.063,0.092506335467,0.572408522776,
Europe & Central Asia,ECS,Norway,NOR,2022,national,EU-SILC,national,2022,income,3,2022 - 2023,3,0.002946596378,0.002175916746,0.001852823827,0.005372927959,84.814949309751,75.87329012603,0.139213342029,0.269462535375,0.21298882318,0.035404242774,0.055638274951,0.06669976611,0.075406325589,0.084545222233,0.094845614624,0.105994668818,0.119957373992,0.141852274705,0.219656236204,1.057641239223,10.036751747131,5457127,79620.1635455079,34130.9518972216,FALSE,micro,survey,39.237,0.082910477678,0.660132469896,
Europe & Central Asia,ECS,Norway,NOR,2023,national,EU-SILC,national,2023,income,3,2022 - 2023,3,0.001970593094,0.001313519234,0.001112124086,0.003216902748,86.741153152438,77.755914301138,0.130255580139,0.265308108802,0.211378787395,0.035818126024,0.05566530715,0.067076595929,0.076536524136,0.085016311369,0.094941494979,0.106024787487,0.121268647015,0.142031874528,0.215620331383,1.116000262905,10.036751747131,5519601,78775.7495154943,33499.2381584404,FALSE,micro,survey,40.178,0.084836045021,0.552162896324,
